name,orbits_star_likelihood,round_shape_likelihood,cleared_orbit_likelihood
K00752.01,1.0,0.95,0.95
K00752.02,1.0,1.0,0.95
K00753.01,1.0,1.0,0.0
K00754.01,1.0,1.0,0.1
K00755.01,1.0,1.0,0.95
K00756.01,1.0,1.0,0.95
K00756.02,1.0,1.0,0.95
K00756.03,1.0,0.8,0.95
K00114.01,1.0,1.0,0.1
K00757.01,1.0,1.0,0.95
K00001.01,1.0,1.0,0.95
K00002.01,1.0,1.0,0.95
K00010.01,1.0,1.0,0.95
K00112.02,1.0,0.68,0.95
K00742.01,1.0,1.0,0.1
K00743.01,1.0,1.0,0.1
K00744.01,1.0,1.0,0.1
K00745.01,1.0,1.0,0.1
K00746.01,1.0,0.99,0.95
K00747.01,1.0,1.0,0.95
K00748.01,1.0,0.8,0.1
K00749.01,1.0,1.0,0.95
K00749.02,1.0,0.82,0.95
K00749.03,1.0,0.72,0.95
K00113.01,1.0,1.0,0.1
K00750.01,1.0,1.0,0.95
K00751.01,1.0,1.0,0.95
K00769.01,1.0,0.96,0.95
K00770.01,1.0,1.0,0.1
K00771.01,1.0,1.0,0.1
K00772.01,1.0,1.0,0.1
K00773.01,1.0,1.0,0.95
K00757.02,1.0,1.0,0.95
K00757.03,1.0,1.0,0.95
K00758.01,1.0,1.0,0.95
K00759.01,1.0,1.0,0.95
K00759.02,1.0,0.92,0.95
K00760.01,1.0,1.0,0.95
K00761.01,1.0,1.0,0.1
K00762.01,1.0,0.92,0.95
K00763.01,1.0,1.0,0.1
K00115.01,1.0,1.0,0.95
K00764.01,1.0,1.0,0.95
K00765.01,1.0,1.0,0.95
K00766.01,1.0,1.0,0.95
K00767.01,1.0,1.0,0.95
K00768.01,1.0,1.0,0.1
K00786.01,1.0,0.87,0.95
K00787.01,1.0,1.0,0.95
K00787.02,1.0,1.0,0.95
K00788.01,1.0,1.0,0.95
K00116.01,1.0,1.0,0.95
K00115.02,1.0,0.85,0.95
K00774.01,1.0,1.0,0.1
K00775.01,1.0,0.89,0.95
K00775.02,1.0,0.93,0.95
K00775.03,1.0,0.89,0.95
K00776.01,1.0,1.0,0.95
K00777.01,1.0,1.0,0.999
K00778.01,1.0,0.89,0.95
K00779.01,1.0,1.0,0.1
K00780.01,1.0,0.97,0.95
K00780.02,1.0,1.0,0.993
K00115.03,1.0,0.47,0.871
K00781.01,1.0,1.0,0.95
K00782.01,1.0,1.0,0.95
K00783.01,1.0,1.0,0.95
K00784.01,1.0,0.88,0.95
K00784.02,1.0,0.87,0.95
K00785.01,1.0,1.0,0.95
K00116.02,1.0,1.0,0.95
K00798.01,1.0,1.0,0.1
K00799.01,1.0,1.0,0.1
K00800.01,1.0,1.0,0.95
K00800.02,1.0,1.0,0.95
K00789.01,1.0,0.87,0.0
K00790.01,1.0,1.0,0.95
K00790.02,1.0,0.97,0.95
K00791.01,1.0,1.0,0.95
K00792.01,1.0,1.0,0.1
K00793.01,1.0,1.0,0.1
K00794.01,1.0,0.91,0.95
K00795.01,1.0,1.0,0.95
K00796.01,1.0,1.0,0.1
K00797.01,1.0,1.0,1.0
K00812.02,1.0,0.89,0.95
K00812.03,1.0,0.86,0.95
K00116.04,1.0,0.72,0.95
K00812.04,1.0,0.69,0.95
K00813.01,1.0,1.0,0.95
K00814.01,1.0,0.96,0.95
K00801.01,1.0,1.0,0.95
K00802.01,1.0,1.0,1.0
K00803.01,1.0,1.0,0.1
K00804.01,1.0,1.0,0.95
K00805.01,1.0,1.0,0.1
K00806.01,1.0,1.0,0.95
K00116.03,1.0,0.56,0.95
K00806.02,1.0,1.0,0.95
K00806.03,1.0,0.87,0.95
K00807.01,1.0,1.0,0.1
K00808.01,1.0,0.82,0.1
K00809.01,1.0,1.0,0.95
K00810.01,1.0,1.0,0.95
K00811.01,1.0,1.0,0.95
K00812.01,1.0,0.9,0.95
K00828.01,1.0,1.0,0.1
K00829.01,1.0,1.0,0.95
K00117.02,1.0,0.82,0.95
K00829.02,1.0,1.0,0.95
K00829.03,1.0,1.0,0.95
K00830.01,1.0,1.0,0.95
K00815.01,1.0,1.0,1.0
K00816.01,1.0,1.0,0.95
K00817.01,1.0,0.85,0.95
K00817.02,1.0,0.85,0.95
K00818.01,1.0,0.92,0.95
K00819.01,1.0,1.0,0.1
K00820.01,1.0,1.0,0.0
K00011.01,1.0,1.0,0.1
K00117.01,1.0,1.0,0.95
K00821.01,1.0,1.0,0.95
K00822.01,1.0,1.0,0.1
K00823.01,1.0,1.0,0.0
K00824.01,1.0,1.0,0.95
K00825.01,1.0,0.92,0.95
K00825.02,1.0,0.76,0.95
K00826.01,1.0,0.99,0.95
K00827.01,1.0,1.0,0.1
K00839.01,1.0,1.0,0.1
K00840.01,1.0,1.0,0.95
K00841.01,1.0,1.0,0.95
K00117.04,1.0,0.65,0.95
K00841.02,1.0,1.0,0.95
K00831.01,1.0,1.0,0.1
K00832.01,1.0,1.0,0.1
K00833.01,1.0,1.0,0.1
K00834.01,1.0,1.0,0.95
K00834.02,1.0,1.0,0.95
K00834.03,1.0,0.96,0.95
K00834.04,1.0,0.8,0.95
K00117.03,1.0,0.78,0.95
K00834.05,1.0,1.0,0.95
K00835.01,1.0,0.97,0.95
K00835.02,1.0,0.97,0.95
K00836.01,1.0,1.0,0.1
K00837.01,1.0,0.85,0.95
K00837.02,1.0,0.77,0.95
K00838.01,1.0,1.0,0.1
K00850.01,1.0,1.0,0.95
K00851.01,1.0,1.0,0.95
K00852.01,1.0,1.0,0.95
K00853.01,1.0,1.0,0.95
K00853.02,1.0,1.0,0.95
K00841.03,1.0,0.94,0.95
K00842.01,1.0,0.96,0.95
K00842.02,1.0,1.0,0.95
K00843.01,1.0,1.0,0.95
K00844.01,1.0,1.0,0.95
K00845.01,1.0,1.0,0.95
K00846.01,1.0,1.0,0.95
K00847.01,1.0,1.0,0.95
K00848.01,1.0,1.0,0.1
K00118.01,1.0,0.96,0.95
K00849.01,1.0,1.0,0.95
K00867.01,1.0,1.0,0.95
K00868.01,1.0,1.0,0.998
K00869.01,1.0,1.0,0.95
K00869.02,1.0,1.0,0.95
K00869.03,1.0,0.96,0.95
K00854.01,1.0,1.0,0.95
K00855.01,1.0,1.0,0.95
K00856.01,1.0,1.0,0.994
K00857.01,1.0,0.99,0.95
K00119.01,1.0,1.0,0.95
K00857.02,1.0,0.96,0.95
K00858.01,1.0,1.0,0.0
K00859.01,1.0,1.0,0.1
K00861.01,1.0,0.76,0.95
K00862.01,1.0,1.0,0.1
K00863.01,1.0,1.0,0.95
K00864.01,1.0,1.0,0.95
K00864.02,1.0,1.0,0.95
K00864.03,1.0,1.0,0.95
K00865.01,1.0,1.0,1.0
K00119.02,1.0,1.0,0.95
K00866.01,1.0,1.0,0.1
K00880.01,1.0,1.0,0.95
K00880.02,1.0,1.0,0.95
K00880.03,1.0,0.99,0.95
K00880.04,1.0,0.86,0.95
K00881.01,1.0,1.0,0.95
K00869.04,1.0,0.82,0.95
K00870.01,1.0,0.84,0.95
K00870.02,1.0,0.81,0.95
K00871.01,1.0,1.0,0.0
K00120.01,1.0,0.98,0.1
K00872.01,1.0,1.0,0.95
K00872.02,1.0,0.89,0.95
K00873.01,1.0,1.0,0.95
K00874.01,1.0,0.97,0.95
K00874.02,1.0,0.78,0.95
K00875.01,1.0,1.0,0.95
K00876.01,1.0,1.0,0.1
K00877.01,1.0,0.97,0.95
K00877.02,1.0,0.93,0.95
K00877.03,1.0,0.75,0.95
K00121.01,1.0,1.0,0.1
K00878.01,1.0,1.0,0.95
K00123.01,1.0,1.0,0.95
K00892.01,1.0,1.0,0.95
K00892.02,1.0,0.84,0.95
K00893.01,1.0,1.0,0.95
K00894.01,1.0,1.0,0.1
K00881.02,1.0,1.0,0.95
K00882.01,1.0,1.0,0.1
K00883.01,1.0,1.0,0.997
K00884.01,1.0,1.0,0.95
K00122.01,1.0,1.0,0.95
K00884.02,1.0,1.0,0.0
K00884.03,1.0,0.83,0.95
K00886.01,1.0,0.83,0.95
K00886.02,1.0,0.72,0.95
K00886.03,1.0,0.72,0.95
K00887.01,1.0,0.99,0.95
K00888.01,1.0,1.0,0.1
K00889.01,1.0,1.0,0.95
K00890.01,1.0,1.0,0.95
K00891.01,1.0,1.0,0.95
K01102.02,1.0,1.0,0.95
K01102.03,1.0,1.0,0.95
K01102.04,1.0,0.91,0.95
K01103.01,1.0,1.0,1.0
K00150.02,1.0,1.0,0.95
K01168.01,1.0,1.0,0.0
K01169.01,1.0,0.73,1.0
K01170.01,1.0,1.0,0.1
K01171.01,1.0,1.0,0.0
K00966.01,1.0,1.0,0.1
K00967.01,1.0,1.0,0.1
K00968.01,1.0,1.0,0.1
K00969.01,1.0,1.0,0.1
K00970.01,1.0,1.0,0.0
K00971.01,1.0,1.0,1.0
K01044.01,1.0,1.0,0.1
K01045.01,1.0,1.0,0.1
K01047.01,1.0,1.0,0.1
K00014.01,1.0,1.0,0.1
K00139.01,1.0,1.0,0.95
K01104.01,1.0,1.0,0.1
K01105.01,1.0,1.0,0.1
K01106.01,1.0,0.99,0.95
K01106.02,1.0,0.8,0.95
K01107.01,1.0,1.0,0.1
K01108.01,1.0,1.0,0.95
K01172.01,1.0,1.0,0.1
K01173.01,1.0,1.0,0.1
K01174.01,1.0,1.0,0.0
K01175.01,1.0,0.85,0.95
K01175.02,1.0,0.79,0.95
K01176.01,1.0,1.0,0.95
K01177.01,1.0,1.0,0.95
K00132.01,1.0,1.0,0.1
K01179.01,1.0,1.0,0.1
K01180.01,1.0,1.0,0.1
K01181.01,1.0,1.0,0.1
K00977.01,1.0,1.0,0.1
K00978.01,1.0,1.0,0.1
K00979.01,1.0,1.0,0.1
K00980.01,1.0,1.0,0.1
K00981.01,1.0,1.0,0.0
K00982.01,1.0,1.0,0.1
K00134.01,1.0,1.0,0.0
K01052.01,1.0,1.0,0.95
K01052.02,1.0,0.82,0.95
K01052.03,1.0,0.98,0.95
K01052.04,1.0,0.98,0.95
K01053.01,1.0,0.78,0.95
K01112.01,1.0,1.0,0.1
K01113.01,1.0,1.0,0.95
K01113.02,1.0,1.0,0.95
K01114.01,1.0,1.0,0.1
K01115.01,1.0,1.0,0.95
K01182.01,1.0,1.0,0.1
K01183.01,1.0,1.0,0.1
K01184.01,1.0,1.0,0.1
K01185.01,1.0,1.0,0.1
K01186.01,1.0,1.0,0.1
K00152.01,1.0,1.0,0.95
K01187.01,1.0,1.0,0.1
K01188.01,1.0,1.0,0.1
K01189.01,1.0,1.0,0.1
K01190.01,1.0,1.0,0.1
K01191.01,1.0,1.0,0.1
K01192.01,1.0,1.0,0.0
K01193.01,1.0,1.0,1.0
K01194.01,1.0,1.0,0.95
K01194.02,1.0,0.79,0.0
K01194.03,1.0,0.7,0.95
K00152.02,1.0,1.0,0.95
K01196.01,1.0,1.0,0.1
K01197.01,1.0,1.0,0.1
K01198.01,1.0,1.0,0.95
K01198.02,1.0,1.0,0.95
K01198.03,1.0,1.0,0.95
K00998.01,1.0,1.0,0.1
K00999.01,1.0,1.0,0.95
K00999.02,1.0,0.93,0.95
K01000.01,1.0,1.0,0.1
K01001.01,1.0,1.0,0.95
K01211.01,1.0,1.0,0.1
K01212.01,1.0,0.87,0.95
K01213.01,1.0,1.0,0.1
K01214.01,1.0,1.0,0.95
K01215.01,1.0,1.0,0.95
K01808.01,1.0,1.0,0.95
K01809.01,1.0,0.95,0.1
K01809.02,1.0,0.76,0.1
K01810.01,1.0,1.0,0.1
K01812.01,1.0,1.0,0.1
K01813.01,1.0,1.0,0.1
K01542.01,1.0,1.0,0.1
K01543.01,1.0,1.0,0.1
K01544.01,1.0,1.0,0.1
K01545.01,1.0,1.0,0.1
K01546.01,1.0,1.0,0.0
K01547.01,1.0,1.0,0.733
K01548.01,1.0,1.0,0.1
K01549.01,1.0,1.0,0.0
K00179.02,1.0,1.0,0.95
K01550.01,1.0,1.0,0.1
K01551.01,1.0,1.0,0.1
K01552.01,1.0,1.0,0.1
K01553.01,1.0,1.0,0.1
K01554.01,1.0,1.0,0.1
K01555.01,1.0,1.0,0.95
K01556.01,1.0,1.0,0.95
K01556.02,1.0,1.0,0.0
K01557.01,1.0,1.0,0.95
K01557.02,1.0,1.0,0.95
K01557.03,1.0,1.0,0.95
K01557.04,1.0,0.8,0.95
K01606.01,1.0,1.0,0.95
K01607.01,1.0,1.0,0.1
K01608.01,1.0,0.82,0.95
K01608.02,1.0,0.8,0.95
K01609.01,1.0,1.0,0.95
K01720.01,1.0,1.0,0.95
K01721.01,1.0,1.0,0.95
K00192.01,1.0,1.0,0.95
K01722.01,1.0,1.0,0.95
K01723.01,1.0,1.0,0.95
K01724.01,1.0,0.85,0.95
K01725.01,1.0,1.0,0.95
K01726.01,1.0,1.0,0.95
K01727.01,1.0,1.0,0.95
K01728.01,1.0,1.0,0.95
K01497.01,1.0,1.0,0.1
K01498.01,1.0,1.0,0.95
K01499.01,1.0,1.0,0.95
K01499.02,1.0,0.8,0.95
K01499.03,1.0,1.0,0.95
K01558.01,1.0,1.0,0.1
K01559.01,1.0,1.0,0.1
K01560.01,1.0,1.0,0.0
K01561.01,1.0,1.0,0.1
K01562.01,1.0,1.0,0.1
K01610.01,1.0,1.0,0.1
K01612.01,1.0,1.0,0.95
K01613.01,1.0,1.0,0.95
K00021.01,1.0,1.0,0.1
K01615.01,1.0,0.89,0.95
K01731.01,1.0,0.89,0.95
K01732.01,1.0,1.0,0.95
K01733.01,1.0,0.8,0.95
K00193.01,1.0,1.0,0.1
K01736.01,1.0,1.0,0.95
K01738.01,1.0,1.0,0.95
K01739.01,1.0,0.0,0.0
K01746.01,1.0,1.0,0.95
K01747.01,1.0,1.0,0.1
K01749.01,1.0,1.0,0.95
K01750.01,1.0,1.0,0.95
K00180.01,1.0,1.0,0.95
K01751.01,1.0,1.0,0.95
K01751.02,1.0,1.0,0.0
K01753.01,1.0,1.0,0.1
K00181.01,1.0,1.0,0.1
K01754.01,1.0,1.0,0.95
K01755.01,1.0,1.0,0.95
K01756.01,1.0,1.0,0.95
K01757.01,1.0,1.0,0.95
K01758.01,1.0,1.0,0.95
K01760.01,1.0,1.0,0.1
K01761.01,1.0,1.0,0.1
K01762.01,1.0,1.0,0.95
K01764.01,1.0,1.0,0.0
K01765.01,1.0,1.0,0.1
K01770.01,1.0,1.0,0.1
K01773.01,1.0,1.0,0.0
K00022.01,1.0,1.0,0.95
K01108.02,1.0,0.78,0.95
K01108.03,1.0,1.0,0.95
K01109.01,1.0,1.0,0.1
K01110.01,1.0,1.0,0.95
K01111.01,1.0,0.85,0.1
K00151.01,1.0,1.0,0.0
K01177.01,1.0,1.0,0.1
K01178.01,1.0,1.0,0.1
K01179.01,1.0,1.0,0.1
K01180.01,1.0,1.0,0.1
K01181.01,1.0,1.0,0.1
K00977.01,1.0,1.0,0.1
K00978.01,1.0,1.0,0.1
K00979.01,1.0,1.0,0.1
K00980.01,1.0,1.0,0.1
K00981.01,1.0,1.0,0.0
K00982.01,1.0,1.0,0.1
K00134.01,1.0,1.0,0.0
K01052.01,1.0,1.0,0.95
K01052.02,1.0,0.82,0.95
K01052.03,1.0,0.98,0.95
K01052.04,1.0,0.98,0.95
K01053.01,1.0,0.78,0.95
K01112.01,1.0,1.0,0.1
K01113.01,1.0,1.0,0.95
K01113.02,1.0,1.0,0.95
K01114.01,1.0,1.0,0.1
K01115.01,1.0,1.0,0.95
K01182.01,1.0,1.0,0.1
K01183.01,1.0,1.0,0.1
K01184.01,1.0,1.0,0.1
K01185.01,1.0,1.0,0.1
K01186.01,1.0,1.0,0.1
K00152.01,1.0,1.0,0.95
K01187.01,1.0,1.0,0.1
K01188.01,1.0,1.0,0.1
K01189.01,1.0,1.0,0.1
K01190.01,1.0,1.0,0.1
K01191.01,1.0,1.0,0.1
K01192.01,1.0,1.0,0.0
K01193.01,1.0,1.0,1.0
K01194.01,1.0,1.0,0.95
K01194.02,1.0,0.79,0.0
K01194.03,1.0,0.7,0.95
K00152.02,1.0,1.0,0.95
K01196.01,1.0,1.0,0.1
K01197.01,1.0,1.0,0.1
K01198.01,1.0,1.0,0.95
K01198.02,1.0,1.0,0.95
K01198.03,1.0,1.0,0.95
K00998.01,1.0,1.0,0.1
K00999.01,1.0,1.0,0.95
K00999.02,1.0,0.93,0.95
K01000.01,1.0,1.0,0.1
K01001.01,1.0,1.0,0.95
K01211.01,1.0,1.0,0.1
K01212.01,1.0,0.87,0.95
K01213.01,1.0,1.0,0.1
K01214.01,1.0,1.0,0.95
K01215.01,1.0,1.0,0.95
K01808.01,1.0,1.0,0.95
K01809.01,1.0,0.95,0.1
K01809.02,1.0,0.76,0.1
K01810.01,1.0,1.0,0.1
K01812.01,1.0,1.0,0.1
K01813.01,1.0,1.0,0.1
K01542.01,1.0,1.0,0.1
K01543.01,1.0,1.0,0.1
K01544.01,1.0,1.0,0.1
K01545.01,1.0,1.0,0.1
K01546.01,1.0,1.0,0.0
K01547.01,1.0,1.0,0.733
K01548.01,1.0,1.0,0.1
K01549.01,1.0,1.0,0.0
K00179.02,1.0,1.0,0.95
K01550.01,1.0,1.0,0.1
K01551.01,1.0,1.0,0.1
K01552.01,1.0,1.0,0.1
K01553.01,1.0,1.0,0.1
K01554.01,1.0,1.0,0.1
K01555.01,1.0,1.0,0.95
K01556.01,1.0,1.0,0.95
K01556.02,1.0,1.0,0.0
K01557.01,1.0,1.0,0.95
K01557.02,1.0,1.0,0.95
K01557.03,1.0,1.0,0.95
K01557.04,1.0,0.8,0.95
K01606.01,1.0,1.0,0.95
K01607.01,1.0,1.0,0.1
K01608.01,1.0,0.82,0.95
K01608.02,1.0,0.8,0.95
K01609.01,1.0,1.0,0.95
K01720.01,1.0,1.0,0.95
K01721.01,1.0,1.0,0.95
K00192.01,1.0,1.0,0.95
K01722.01,1.0,1.0,0.95
K01723.01,1.0,1.0,0.95
K01724.01,1.0,0.85,0.95
K01725.01,1.0,1.0,0.95
K01726.01,1.0,1.0,0.95
K01727.01,1.0,1.0,0.95
K01728.01,1.0,1.0,0.95
K01497.01,1.0,1.0,0.1
K01498.01,1.0,1.0,0.95
K01499.01,1.0,1.0,0.95
K01499.02,1.0,0.8,0.95
K01499.03,1.0,1.0,0.95
K01558.01,1.0,1.0,0.1
K01559.01,1.0,1.0,0.1
K01560.01,1.0,1.0,0.0
K01561.01,1.0,1.0,0.1
K01562.01,1.0,1.0,0.1
K01610.01,1.0,1.0,0.1
K01612.01,1.0,1.0,0.95
K01613.01,1.0,1.0,0.95
K00021.01,1.0,1.0,0.1
K01615.01,1.0,0.89,0.95
K01731.01,1.0,0.89,0.95
K01732.01,1.0,1.0,0.95
K01733.01,1.0,0.8,0.95
K00193.01,1.0,1.0,0.1
K01736.01,1.0,1.0,0.95
K01738.01,1.0,1.0,0.95
K01746.01,1.0,1.0,0.95
K01747.01,1.0,1.0,0.1
K01749.01,1.0,1.0,0.95
K01750.01,1.0,1.0,0.95
K00180.01,1.0,1.0,0.95
K01751.01,1.0,1.0,0.95
K01751.02,1.0,1.0,0.0
K01753.01,1.0,1.0,0.1
K00181.01,1.0,1.0,0.1
K01754.01,1.0,1.0,0.95
K01755.01,1.0,1.0,0.95
K01756.01,1.0,1.0,0.95
K01757.01,1.0,1.0,0.95
K01758.01,1.0,1.0,0.95
K01760.01,1.0,1.0,0.1
K01761.01,1.0,1.0,0.1
K01762.01,1.0,1.0,0.95
K01764.01,1.0,1.0,0.0
K01765.01,1.0,1.0,0.1
K01770.01,1.0,1.0,0.1
K01773.01,1.0,1.0,0.0
K00022.01,1.0,1.0,0.95
K01108.02,1.0,0.78,0.95
K01108.03,1.0,1.0,0.95
K01109.01,1.0,1.0,0.1
K01110.01,1.0,1.0,0.95
K01111.01,1.0,0.85,0.1
K00151.01,1.0,1.0,0.0
K01177.01,1.0,1.0,0.1
K01178.01,1.0,1.0,0.1
K01179.01,1.0,1.0,0.1
K01180.01,1.0,1.0,0.1
K01181.01,1.0,1.0,0.1
K00977.01,1.0,1.0,0.1
K00978.01,1.0,1.0,0.1
K00979.01,1.0,1.0,0.1
K00980.01,1.0,1.0,0.1
K00981.01,1.0,1.0,0.0
K00982.01,1.0,1.0,0.1
K00134.01,1.0,1.0,0.0
K01052.01,1.0,1.0,0.95
K01052.02,1.0,0.82,0.95
K01052.03,1.0,0.98,0.95
K01052.04,1.0,0.98,0.95
K01053.01,1.0,0.78,0.95
K01112.01,1.0,1.0,0.1
K01113.01,1.0,1.0,0.95
K01113.02,1.0,1.0,0.95
K01114.01,1.0,1.0,0.1
K01115.01,1.0,1.0,0.95
K01182.01,1.0,1.0,0.1
K01183.01,1.0,1.0,0.1
K01184.01,1.0,1.0,0.1
K01185.01,1.0,1.0,0.1
K01186.01,1.0,1.0,0.1
K00152.01,1.0,1.0,0.95
K01187.01,1.0,1.0,0.1
K01188.01,1.0,1.0,0.1
K01189.01,1.0,1.0,0.1
K01190.01,1.0,1.0,0.1
K01191.01,1.0,1.0,0.1
K01192.01,1.0,1.0,0.0
K01193.01,1.0,1.0,1.0
K01194.01,1.0,1.0,0.95
K01194.02,1.0,0.79,0.0
K01194.03,1.0,0.7,0.95
K00152.02,1.0,1.0,0.95
K01196.01,1.0,1.0,0.1
K01197.01,1.0,1.0,0.1
K01198.01,1.0,1.0,0.95
K01198.02,1.0,1.0,0.95
K01198.03,1.0,1.0,0.95
K00998.01,1.0,1.0,0.1
K00999.01,1.0,1.0,0.95
K00999.02,1.0,0.93,0.95
K01000.01,1.0,1.0,0.1
K01001.01,1.0,1.0,0.95
K01211.01,1.0,1.0,0.1
K01212.01,1.0,0.87,0.95
K01213.01,1.0,1.0,0.1
K01214.01,1.0,1.0,0.95
K01215.01,1.0,1.0,0.95
K01808.01,1.0,1.0,0.95
K01809.01,1.0,0.95,0.1
K01809.02,1.0,0.76,0.1
K01810.01,1.0,1.0,0.1
K01812.01,1.0,1.0,0.1
K01813.01,1.0,1.0,0.1
K01542.01,1.0,1.0,0.1
K01543.01,1.0,1.0,0.1
K01544.01,1.0,1.0,0.1
K01545.01,1.0,1.0,0.1
K01546.01,1.0,1.0,0.0
K01547.01,1.0,1.0,0.733
K01548.01,1.0,1.0,0.1
K01549.01,1.0,1.0,0.0
K00179.02,1.0,1.0,0.95
K01550.01,1.0,1.0,0.1
K01551.01,1.0,1.0,0.1
K01552.01,1.0,1.0,0.1
K01553.01,1.0,1.0,0.1
K01554.01,1.0,1.0,0.1
K01555.01,1.0,1.0,0.95
K01556.01,1.0,1.0,0.95
K01556.02,1.0,1.0,0.0
K01557.01,1.0,1.0,0.95
K01557.02,1.0,1.0,0.95
K01557.03,1.0,1.0,0.95
K01557.04,1.0,0.8,0.95
K01606.01,1.0,1.0,0.95
K01607.01,1.0,1.0,0.1
K01608.01,1.0,0.82,0.95
K01608.02,1.0,0.8,0.95
K01609.01,1.0,1.0,0.95
K01720.01,1.0,1.0,0.95
K01721.01,1.0,1.0,0.95
K00192.01,1.0,1.0,0.95
K01722.01,1.0,1.0,0.95
K01723.01,1.0,1.0,0.95
K01724.01,1.0,0.85,0.95
K01725.01,1.0,1.0,0.95
K01726.01,1.0,1.0,0.95
K01727.01,1.0,1.0,0.95
K01728.01,1.0,1.0,0.95
K01497.01,1.0,1.0,0.1
K01498.01,1.0,1.0,0.95
K01499.01,1.0,1.0,0.95
K01499.02,1.0,0.8,0.95
K01499.03,1.0,1.0,0.95
K01558.01,1.0,1.0,0.1
K01559.01,1.0,1.0,0.1
K01560.01,1.0,1.0,0.0
K01561.01,1.0,1.0,0.1
K01562.01,1.0,1.0,0.1
K01610.01,1.0,1.0,0.1
K01612.01,1.0,1.0,0.95
K01613.01,1.0,1.0,0.95
K00021.01,1.0,1.0,0.1
K01615.01,1.0,0.89,0.95
K01731.01,1.0,0.89,0.95
K01732.01,1.0,1.0,0.95
